Country,edu_level,year,sum
Netherlands,Short-cycle tertiary education,2019,0
Netherlands,Short-cycle tertiary education,2020,0
Netherlands,Short-cycle tertiary education,2021,0
Netherlands,Bachelor or equivalent level,2013,8685
Netherlands,Bachelor or equivalent level,2014,8837
Netherlands,Bachelor or equivalent level,2015,9841
Netherlands,Bachelor or equivalent level,2016,9924
Netherlands,Bachelor or equivalent level,2017,10133
Netherlands,Bachelor or equivalent level,2018,10644
Netherlands,Bachelor or equivalent level,2019,11912
Netherlands,Bachelor or equivalent level,2020,13298
Netherlands,Bachelor or equivalent level,2021,15104
Netherlands,Master or equivalent level,2013,8233
Netherlands,Master or equivalent level,2014,8277
Netherlands,Master or equivalent level,2015,9574
Netherlands,Master or equivalent level,2016,10630
Netherlands,Master or equivalent level,2017,11904
Netherlands,Master or equivalent level,2018,13184
Netherlands,Master or equivalent level,2019,14426
Netherlands,Master or equivalent level,2020,15233
Netherlands,Master or equivalent level,2021,16992
Netherlands,Doctoral or equivalent level,2013,1743
Netherlands,Doctoral or equivalent level,2014,1792
Netherlands,Doctoral or equivalent level,2015,1948
Netherlands,Doctoral or equivalent level,2016,2086
Netherlands,Doctoral or equivalent level,2017,1994
Netherlands,Doctoral or equivalent level,2018,1994
Netherlands,Doctoral or equivalent level,2019,2021
Netherlands,Doctoral or equivalent level,2020,1990
Netherlands,Doctoral or equivalent level,2021,1988
New Zealand,Short-cycle tertiary education,2013,3965
New Zealand,Short-cycle tertiary education,2014,4628
New Zealand,Short-cycle tertiary education,2015,6002
New Zealand,Short-cycle tertiary education,2016,7869
New Zealand,Short-cycle tertiary education,2017,6465
New Zealand,Short-cycle tertiary education,2018,5225
New Zealand,Short-cycle tertiary education,2019,3899
New Zealand,Short-cycle tertiary education,2020,3526
New Zealand,Short-cycle tertiary education,2021,3167
New Zealand,Bachelor or equivalent level,2013,6593
New Zealand,Bachelor or equivalent level,2014,6785
New Zealand,Bachelor or equivalent level,2015,8416
New Zealand,Bachelor or equivalent level,2016,9953
New Zealand,Bachelor or equivalent level,2017,10108
New Zealand,Bachelor or equivalent level,2018,10881
New Zealand,Bachelor or equivalent level,2019,10872
New Zealand,Bachelor or equivalent level,2020,11426
New Zealand,Bachelor or equivalent level,2021,7150
New Zealand,Master or equivalent level,2013,1279
New Zealand,Master or equivalent level,2014,1573
New Zealand,Master or equivalent level,2015,1661
New Zealand,Master or equivalent level,2016,2045
New Zealand,Master or equivalent level,2017,2231
New Zealand,Master or equivalent level,2018,2900
New Zealand,Master or equivalent level,2019,3377
New Zealand,Master or equivalent level,2020,3973
New Zealand,Master or equivalent level,2021,3293
New Zealand,Doctoral or equivalent level,2013,584
New Zealand,Doctoral or equivalent level,2014,681
New Zealand,Doctoral or equivalent level,2015,679
New Zealand,Doctoral or equivalent level,2016,663
New Zealand,Doctoral or equivalent level,2017,745
New Zealand,Doctoral or equivalent level,2018,734
New Zealand,Doctoral or equivalent level,2019,789
New Zealand,Doctoral or equivalent level,2020,857
New Zealand,Doctoral or equivalent level,2021,1010
Norway,Short-cycle tertiary education,2013,6
Norway,Short-cycle tertiary education,2014,19
Norway,Short-cycle tertiary education,2015,5
Norway,Short-cycle tertiary education,2016,11
Norway,Short-cycle tertiary education,2017,41
Norway,Short-cycle tertiary education,2018,41
Norway,Short-cycle tertiary education,2019,36
Norway,Short-cycle tertiary education,2020,36
Norway,Short-cycle tertiary education,2021,51
Norway,Bachelor or equivalent level,2013,638
Norway,Bachelor or equivalent level,2014,693
Norway,Bachelor or equivalent level,2015,792
Norway,Bachelor or equivalent level,2016,784
Norway,Bachelor or equivalent level,2017,956
Norway,Bachelor or equivalent level,2018,1004
Norway,Bachelor or equivalent level,2019,940
Norway,Bachelor or equivalent level,2020,941
Norway,Bachelor or equivalent level,2021,944
Norway,Master or equivalent level,2013,1422
Norway,Master or equivalent level,2014,1501
Norway,Master or equivalent level,2015,1515
Norway,Master or equivalent level,2016,1755
Norway,Master or equivalent level,2017,1796
Norway,Master or equivalent level,2018,1668
Norway,Master or equivalent level,2019,1678
Norway,Master or equivalent level,2020,1566
Norway,Master or equivalent level,2021,1738
Norway,Doctoral or equivalent level,2013,471
Norway,Doctoral or equivalent level,2014,400
Norway,Doctoral or equivalent level,2015,365
Norway,Doctoral or equivalent level,2016,414
Norway,Doctoral or equivalent level,2017,427
Norway,Doctoral or equivalent level,2018,460
Norway,Doctoral or equivalent level,2019,537
Norway,Doctoral or equivalent level,2020,480
Norway,Doctoral or equivalent level,2021,538
Poland,Short-cycle tertiary education,2013,0
Poland,Short-cycle tertiary education,2014,0
Poland,Short-cycle tertiary education,2015,0
Poland,Short-cycle tertiary education,2016,0
Poland,Short-cycle tertiary education,2017,0
Poland,Short-cycle tertiary education,2018,0
Poland,Short-cycle tertiary education,2019,0
Poland,Short-cycle tertiary education,2020,0
Poland,Short-cycle tertiary education,2021,0
Poland,Bachelor or equivalent level,2013,2197
Poland,Bachelor or equivalent level,2014,2582
Poland,Bachelor or equivalent level,2015,3542
Poland,Bachelor or equivalent level,2016,4793
Poland,Bachelor or equivalent level,2017,5430
Poland,Bachelor or equivalent level,2018,5983
Poland,Bachelor or equivalent level,2019,5962
Poland,Bachelor or equivalent level,2020,9931
Poland,Bachelor or equivalent level,2021,12279
Poland,Master or equivalent level,2013,2553
Poland,Master or equivalent level,2014,2917
Poland,Master or equivalent level,2015,3344
Poland,Master or equivalent level,2016,3987
Poland,Master or equivalent level,2017,4491
Poland,Master or equivalent level,2018,4658
Poland,Master or equivalent level,2019,5217
Poland,Master or equivalent level,2020,5589
Poland,Master or equivalent level,2021,6696
Poland,Doctoral or equivalent level,2013,0
Poland,Doctoral or equivalent level,2014,0
Poland,Doctoral or equivalent level,2015,0
Poland,Doctoral or equivalent level,2016,0
Poland,Doctoral or equivalent level,2017,0
Poland,Doctoral or equivalent level,2018,72
Poland,Doctoral or equivalent level,2019,100
Poland,Doctoral or equivalent level,2020,157
Poland,Doctoral or equivalent level,2021,33
Portugal,Short-cycle tertiary education,2013,0
Portugal,Short-cycle tertiary education,2014,0
Portugal,Short-cycle tertiary education,2015,0
Portugal,Short-cycle tertiary education,2016,1
Portugal,Short-cycle tertiary education,2017,36
Portugal,Short-cycle tertiary education,2018,80
Portugal,Short-cycle tertiary education,2019,87
Portugal,Short-cycle tertiary education,2020,183
Portugal,Short-cycle tertiary education,2021,271
Portugal,Bachelor or equivalent level,2013,862
Portugal,Bachelor or equivalent level,2014,884
Portugal,Bachelor or equivalent level,2015,994
Portugal,Bachelor or equivalent level,2016,1005
Portugal,Bachelor or equivalent level,2017,1133
Portugal,Bachelor or equivalent level,2018,1354
Portugal,Bachelor or equivalent level,2019,1589
Portugal,Bachelor or equivalent level,2020,2110
Portugal,Bachelor or equivalent level,2021,2730
Portugal,Master or equivalent level,2013,1145
Portugal,Master or equivalent level,2014,1357
Portugal,Master or equivalent level,2015,1852
Portugal,Master or equivalent level,2016,2069
Portugal,Master or equivalent level,2017,2130
Portugal,Master or equivalent level,2018,2719
Portugal,Master or equivalent level,2019,3354
Portugal,Master or equivalent level,2020,4192
Portugal,Master or equivalent level,2021,4463
Portugal,Doctoral or equivalent level,2013,271
Portugal,Doctoral or equivalent level,2014,329
Portugal,Doctoral or equivalent level,2015,382
Portugal,Doctoral or equivalent level,2016,452
Portugal,Doctoral or equivalent level,2017,485
Portugal,Doctoral or equivalent level,2018,591
Portugal,Doctoral or equivalent level,2019,643
Portugal,Doctoral or equivalent level,2020,579
Portugal,Doctoral or equivalent level,2021,629
Slovak Republic,Short-cycle tertiary education,2013,6
Slovak Republic,Short-cycle tertiary education,2014,7
Slovak Republic,Short-cycle tertiary education,2015,7
Slovak Republic,Short-cycle tertiary education,2016,8
Slovak Republic,Short-cycle tertiary education,2017,3
Slovak Republic,Short-cycle tertiary education,2018,5
Slovak Republic,Short-cycle tertiary education,2019,6
Slovak Republic,Short-cycle tertiary education,2020,4
Slovak Republic,Short-cycle tertiary education,2021,8
Slovak Republic,Bachelor or equivalent level,2013,1380
Slovak Republic,Bachelor or equivalent level,2014,1298
Slovak Republic,Bachelor or equivalent level,2015,1174
Slovak Republic,Bachelor or equivalent level,2016,1195
Slovak Republic,Bachelor or equivalent level,2017,1166
Slovak Republic,Bachelor or equivalent level,2018,1143
Slovak Republic,Bachelor or equivalent level,2019,1143
Slovak Republic,Bachelor or equivalent level,2020,1221
Slovak Republic,Bachelor or equivalent level,2021,1399
Slovak Republic,Master or equivalent level,2013,1211
Slovak Republic,Master or equivalent level,2014,1414
Slovak Republic,Master or equivalent level,2015,1412
Slovak Republic,Master or equivalent level,2016,1716
Slovak Republic,Master or equivalent level,2017,1322
Slovak Republic,Master or equivalent level,2018,1238
Slovak Republic,Master or equivalent level,2019,1248
Slovak Republic,Master or equivalent level,2020,1277
Slovak Republic,Master or equivalent level,2021,1371
Slovak Republic,Doctoral or equivalent level,2013,135
Slovak Republic,Doctoral or equivalent level,2014,187
Slovak Republic,Doctoral or equivalent level,2015,140
Slovak Republic,Doctoral or equivalent level,2016,119
Slovak Republic,Doctoral or equivalent level,2017,134
Slovak Republic,Doctoral or equivalent level,2018,109
Slovak Republic,Doctoral or equivalent level,2019,125
Slovak Republic,Doctoral or equivalent level,2020,89
Slovak Republic,Doctoral or equivalent level,2021,101
Spain,Short-cycle tertiary education,2013,0
Spain,Short-cycle tertiary education,2014,0
Spain,Short-cycle tertiary education,2015,0
Spain,Short-cycle tertiary education,2016,831
Spain,Short-cycle tertiary education,2017,796
Spain,Short-cycle tertiary education,2018,1576
Spain,Short-cycle tertiary education,2019,1643
Spain,Short-cycle tertiary education,2020,1639
Spain,Short-cycle tertiary education,2021,1571
Spain,Bachelor or equivalent level,2013,660
Spain,Bachelor or equivalent level,2014,1008
Spain,Bachelor or equivalent level,2015,1072
Spain,Bachelor or equivalent level,2016,1397
Spain,Bachelor or equivalent level,2017,2066
Spain,Bachelor or equivalent level,2018,2267
Spain,Bachelor or equivalent level,2019,2678
Spain,Bachelor or equivalent level,2020,3298
Spain,Bachelor or equivalent level,2021,3440
Spain,Master or equivalent level,2013,7787
Spain,Master or equivalent level,2014,7827
Spain,Master or equivalent level,2015,9761
Spain,Master or equivalent level,2016,10340
Spain,Master or equivalent level,2017,15185
Spain,Master or equivalent level,2018,16911
Spain,Master or equivalent level,2019,16413
Spain,Master or equivalent level,2020,16939
Spain,Master or equivalent level,2021,13477
Spain,Doctoral or equivalent level,2013,0
Spain,Doctoral or equivalent level,2014,0
Spain,Doctoral or equivalent level,2015,0
Spain,Doctoral or equivalent level,2016,0
Spain,Doctoral or equivalent level,2017,0
Spain,Doctoral or equivalent level,2018,0
Spain,Doctoral or equivalent level,2019,1471
Spain,Doctoral or equivalent level,2020,1485
Spain,Doctoral or equivalent level,2021,1834
Sweden,Short-cycle tertiary education,2013,14
Sweden,Short-cycle tertiary education,2014,19
Sweden,Short-cycle tertiary education,2015,10
Sweden,Short-cycle tertiary education,2016,15
Sweden,Short-cycle tertiary education,2017,19
Sweden,Short-cycle tertiary education,2018,12
Sweden,Short-cycle tertiary education,2019,23
Sweden,Short-cycle tertiary education,2020,10
Sweden,Short-cycle tertiary education,2021,17
Sweden,Bachelor or equivalent level,2013,840
Sweden,Bachelor or equivalent level,2014,834
Sweden,Bachelor or equivalent level,2015,797
Sweden,Bachelor or equivalent level,2016,738
Sweden,Bachelor or equivalent level,2017,656
Sweden,Bachelor or equivalent level,2018,819
Sweden,Bachelor or equivalent level,2019,822
Sweden,Bachelor or equivalent level,2020,901
Sweden,Bachelor or equivalent level,2021,1060
Sweden,Master or equivalent level,2013,6333
Sweden,Master or equivalent level,2014,5445
Sweden,Master or equivalent level,2015,4785
Sweden,Master or equivalent level,2016,5065
Sweden,Master or equivalent level,2017,5101
Sweden,Master or equivalent level,2018,5353
Sweden,Master or equivalent level,2019,6144
Sweden,Master or equivalent level,2020,6709
Sweden,Master or equivalent level,2021,7156
Sweden,Doctoral or equivalent level,2013,1060
Sweden,Doctoral or equivalent level,2014,1171
Sweden,Doctoral or equivalent level,2015,1235
Sweden,Doctoral or equivalent level,2016,1364
Sweden,Doctoral or equivalent level,2017,1394
Sweden,Doctoral or equivalent level,2018,1197
Sweden,Doctoral or equivalent level,2019,1308
Sweden,Doctoral or equivalent level,2020,1180
Sweden,Doctoral or equivalent level,2021,1179
Switzerland,Short-cycle tertiary education,2013,0
Switzerland,Short-cycle tertiary education,2014,0
Switzerland,Short-cycle tertiary education,2015,0
Switzerland,Short-cycle tertiary education,2016,0
Switzerland,Short-cycle tertiary education,2017,0
Switzerland,Short-cycle tertiary education,2018,0
Switzerland,Short-cycle tertiary education,2019,0
Switzerland,Short-cycle tertiary education,2020,0
Switzerland,Short-cycle tertiary education,2021,0
Switzerland,Bachelor or equivalent level,2013,3710
Switzerland,Bachelor or equivalent level,2014,3867
Switzerland,Bachelor or equivalent level,2015,3959
Switzerland,Bachelor or equivalent level,2016,4000
Switzerland,Bachelor or equivalent level,2017,4046
Switzerland,Bachelor or equivalent level,2018,4006
Switzerland,Bachelor or equivalent level,2019,4088
Switzerland,Bachelor or equivalent level,2020,4266
Switzerland,Bachelor or equivalent level,2021,4411
Switzerland,Master or equivalent level,2013,5664
Switzerland,Master or equivalent level,2014,6164
Switzerland,Master or equivalent level,2015,6356
Switzerland,Master or equivalent level,2016,6733
Switzerland,Master or equivalent level,2017,6863
Switzerland,Master or equivalent level,2018,6944
Switzerland,Master or equivalent level,2019,6921
Switzerland,Master or equivalent level,2020,6963
Switzerland,Master or equivalent level,2021,7697
Switzerland,Doctoral or equivalent level,2013,1866
Switzerland,Doctoral or equivalent level,2014,2085
Switzerland,Doctoral or equivalent level,2015,2082
Switzerland,Doctoral or equivalent level,2016,2243
Switzerland,Doctoral or equivalent level,2017,2340
Switzerland,Doctoral or equivalent level,2018,2350
Switzerland,Doctoral or equivalent level,2019,2479
Switzerland,Doctoral or equivalent level,2020,2543
Switzerland,Doctoral or equivalent level,2021,2561
T�rkiye,Short-cycle tertiary education,2013,285
T�rkiye,Short-cycle tertiary education,2014,265
T�rkiye,Short-cycle tertiary education,2015,311
T�rkiye,Short-cycle tertiary education,2016,505
T�rkiye,Short-cycle tertiary education,2017,530
T�rkiye,Short-cycle tertiary education,2018,540
T�rkiye,Short-cycle tertiary education,2019,657
T�rkiye,Short-cycle tertiary education,2020,1170
T�rkiye,Short-cycle tertiary education,2021,2374
T�rkiye,Bachelor or equivalent level,2013,1815
T�rkiye,Bachelor or equivalent level,2014,2243
T�rkiye,Bachelor or equivalent level,2015,3002
T�rkiye,Bachelor or equivalent level,2016,3933
T�rkiye,Bachelor or equivalent level,2017,4897
T�rkiye,Bachelor or equivalent level,2018,5638
T�rkiye,Bachelor or equivalent level,2019,6411
T�rkiye,Bachelor or equivalent level,2020,7361
T�rkiye,Bachelor or equivalent level,2021,8927
T�rkiye,Master or equivalent level,2013,847
T�rkiye,Master or equivalent level,2014,1465
T�rkiye,Master or equivalent level,2015,1934
T�rkiye,Master or equivalent level,2016,2606
T�rkiye,Master or equivalent level,2017,3749
T�rkiye,Master or equivalent level,2018,3990
T�rkiye,Master or equivalent level,2019,4766
T�rkiye,Master or equivalent level,2020,4271
T�rkiye,Master or equivalent level,2021,5664
T�rkiye,Doctoral or equivalent level,2013,247
T�rkiye,Doctoral or equivalent level,2014,152
T�rkiye,Doctoral or equivalent level,2015,211
T�rkiye,Doctoral or equivalent level,2016,325
T�rkiye,Doctoral or equivalent level,2017,403
T�rkiye,Doctoral or equivalent level,2018,524
T�rkiye,Doctoral or equivalent level,2019,728
T�rkiye,Doctoral or equivalent level,2020,615
T�rkiye,Doctoral or equivalent level,2021,749
United Kingdom,Short-cycle tertiary education,2013,9414
United Kingdom,Short-cycle tertiary education,2014,5715
United Kingdom,Short-cycle tertiary education,2015,8257
United Kingdom,Short-cycle tertiary education,2016,7748
United Kingdom,Short-cycle tertiary education,2017,7622
United Kingdom,Short-cycle tertiary education,2018,7443
United Kingdom,Short-cycle tertiary education,2019,8448
United Kingdom,Short-cycle tertiary education,2020,10207
United Kingdom,Short-cycle tertiary education,2021,10788
United Kingdom,Bachelor or equivalent level,2013,63148
United Kingdom,Bachelor or equivalent level,2014,69732
United Kingdom,Bachelor or equivalent level,2015,66750
United Kingdom,Bachelor or equivalent level,2016,67605
United Kingdom,Bachelor or equivalent level,2017,70065
United Kingdom,Bachelor or equivalent level,2018,73224
United Kingdom,Bachelor or equivalent level,2019,77480
United Kingdom,Bachelor or equivalent level,2020,78449
United Kingdom,Bachelor or equivalent level,2021,80769
United Kingdom,Master or equivalent level,2013,108256
United Kingdom,Master or equivalent level,2014,108177
United Kingdom,Master or equivalent level,2015,111723
United Kingdom,Master or equivalent level,2016,110000
United Kingdom,Master or equivalent level,2017,110508
United Kingdom,Master or equivalent level,2018,112704
United Kingdom,Master or equivalent level,2019,127056
United Kingdom,Master or equivalent level,2020,130383
United Kingdom,Master or equivalent level,2021,154392
United Kingdom,Doctoral or equivalent level,2013,11324
United Kingdom,Doctoral or equivalent level,2014,10720
United Kingdom,Doctoral or equivalent level,2015,11465
United Kingdom,Doctoral or equivalent level,2016,12113
United Kingdom,Doctoral or equivalent level,2017,12808
United Kingdom,Doctoral or equivalent level,2018,13718
United Kingdom,Doctoral or equivalent level,2019,13419
United Kingdom,Doctoral or equivalent level,2020,12882
United Kingdom,Doctoral or equivalent level,2021,11216
United States of America,Short-cycle tertiary education,2013,0
United States of America,Short-cycle tertiary education,2014,0
United States of America,Short-cycle tertiary education,2015,0
United States of America,Short-cycle tertiary education,2016,0
United States of America,Short-cycle tertiary education,2017,0
United States of America,Short-cycle tertiary education,2018,0
United States of America,Short-cycle tertiary education,2019,0
United States of America,Short-cycle tertiary education,2020,0
United States of America,Short-cycle tertiary education,2021,0
United States of America,Bachelor or equivalent level,2013,0
United States of America,Bachelor or equivalent level,2014,0
United States of America,Bachelor or equivalent level,2015,0
United States of America,Bachelor or equivalent level,2016,0
United States of America,Bachelor or equivalent level,2017,0
United States of America,Bachelor or equivalent level,2018,0
United States of America,Bachelor or equivalent level,2019,0
United States of America,Bachelor or equivalent level,2020,0
United States of America,Bachelor or equivalent level,2021,0
United States of America,Master or equivalent level,2013,0
United States of America,Master or equivalent level,2014,0
United States of America,Master or equivalent level,2015,0
United States of America,Master or equivalent level,2016,0
United States of America,Master or equivalent level,2017,0
United States of America,Master or equivalent level,2018,0
United States of America,Master or equivalent level,2019,0
United States of America,Master or equivalent level,2020,0
United States of America,Master or equivalent level,2021,0
United States of America,Doctoral or equivalent level,2013,0
United States of America,Doctoral or equivalent level,2014,0
United States of America,Doctoral or equivalent level,2015,0
United States of America,Doctoral or equivalent level,2016,0
United States of America,Doctoral or equivalent level,2017,0
United States of America,Doctoral or equivalent level,2018,0
United States of America,Doctoral or equivalent level,2019,0
United States of America,Doctoral or equivalent level,2020,0
United States of America,Doctoral or equivalent level,2021,0
Brazil,Short-cycle tertiary education,2013,2
Brazil,Short-cycle tertiary education,2014,1
Brazil,Short-cycle tertiary education,2015,6
Brazil,Short-cycle tertiary education,2016,3
Brazil,Short-cycle tertiary education,2017,0
Brazil,Short-cycle tertiary education,2018,0
Brazil,Short-cycle tertiary education,2019,0
Brazil,Short-cycle tertiary education,2020,0
Brazil,Short-cycle tertiary education,2021,0
Brazil,Bachelor or equivalent level,2013,1760
Brazil,Bachelor or equivalent level,2014,1993
Brazil,Bachelor or equivalent level,2015,2174
Brazil,Bachelor or equivalent level,2016,2272
Brazil,Bachelor or equivalent level,2017,2491
Brazil,Bachelor or equivalent level,2018,2788
Brazil,Bachelor or equivalent level,2019,2597
Brazil,Bachelor or equivalent level,2021,2697
Brazil,Master or equivalent level,2013,0
Brazil,Master or equivalent level,2014,589
Brazil,Master or equivalent level,2015,827
Brazil,Master or equivalent level,2016,839
Brazil,Master or equivalent level,2017,846
Brazil,Master or equivalent level,2018,713
Brazil,Master or equivalent level,2019,670
Brazil,Master or equivalent level,2021,593
Brazil,Doctoral or equivalent level,2013,0
Brazil,Doctoral or equivalent level,2014,294
Brazil,Doctoral or equivalent level,2015,398
Brazil,Doctoral or equivalent level,2016,441
Brazil,Doctoral or equivalent level,2017,629
Brazil,Doctoral or equivalent level,2018,586
Brazil,Doctoral or equivalent level,2019,655
Brazil,Doctoral or equivalent level,2020,529
Brazil,Doctoral or equivalent level,2021,468
Chile,Short-cycle tertiary education,2013,87
Chile,Short-cycle tertiary education,2014,91
Chile,Short-cycle tertiary education,2015,34
Chile,Short-cycle tertiary education,2016,121
Chile,Short-cycle tertiary education,2017,232
Chile,Short-cycle tertiary education,2018,286
Chile,Short-cycle tertiary education,2019,869
Chile,Short-cycle tertiary education,2020,717
Chile,Short-cycle tertiary education,2021,1392
Chile,Bachelor or equivalent level,2013,92
Chile,Bachelor or equivalent level,2014,108
Chile,Bachelor or equivalent level,2015,65
Chile,Bachelor or equivalent level,2016,151
Chile,Bachelor or equivalent level,2017,132
Chile,Bachelor or equivalent level,2018,173
Chile,Bachelor or equivalent level,2019,682
Chile,Bachelor or equivalent level,2020,381
Chile,Bachelor or equivalent level,2021,867
Chile,Master or equivalent level,2013,201
Chile,Master or equivalent level,2014,212
Chile,Master or equivalent level,2015,272
Chile,Master or equivalent level,2016,213
Chile,Master or equivalent level,2017,166
Chile,Master or equivalent level,2018,145
Chile,Master or equivalent level,2019,2173
Chile,Master or equivalent level,2020,798
Chile,Master or equivalent level,2021,2606
Chile,Doctoral or equivalent level,2013,24
Chile,Doctoral or equivalent level,2014,15
Chile,Doctoral or equivalent level,2015,30
Chile,Doctoral or equivalent level,2016,19
Chile,Doctoral or equivalent level,2017,33
Chile,Doctoral or equivalent level,2018,37
Chile,Doctoral or equivalent level,2019,168
Chile,Doctoral or equivalent level,2020,99
Chile,Doctoral or equivalent level,2021,211
Colombia,Short-cycle tertiary education,2013,0
Colombia,Short-cycle tertiary education,2014,0
Colombia,Short-cycle tertiary education,2015,0
Colombia,Short-cycle tertiary education,2016,52
Colombia,Short-cycle tertiary education,2017,48
Colombia,Short-cycle tertiary education,2018,60
Colombia,Short-cycle tertiary education,2019,73
Colombia,Short-cycle tertiary education,2020,81
Colombia,Short-cycle tertiary education,2021,94
Colombia,Bachelor or equivalent level,2013,0
Colombia,Bachelor or equivalent level,2014,0
Colombia,Bachelor or equivalent level,2015,0
Colombia,Bachelor or equivalent level,2016,221
Colombia,Bachelor or equivalent level,2017,275
Colombia,Bachelor or equivalent level,2018,313
Colombia,Bachelor or equivalent level,2019,360
Colombia,Bachelor or equivalent level,2020,447
Colombia,Bachelor or equivalent level,2021,417
Colombia,Master or equivalent level,2013,0
Colombia,Master or equivalent level,2014,0
Colombia,Master or equivalent level,2015,0
Colombia,Master or equivalent level,2016,325
Colombia,Master or equivalent level,2017,456
Colombia,Master or equivalent level,2018,541
Colombia,Master or equivalent level,2019,501
Colombia,Master or equivalent level,2020,532
Colombia,Master or equivalent level,2021,512
Colombia,Doctoral or equivalent level,2013,0
Colombia,Doctoral or equivalent level,2014,0
Colombia,Doctoral or equivalent level,2015,0
Colombia,Doctoral or equivalent level,2016,11
Colombia,Doctoral or equivalent level,2017,16
Colombia,Doctoral or equivalent level,2018,26
Colombia,Doctoral or equivalent level,2019,24
Colombia,Doctoral or equivalent level,2020,28
Colombia,Doctoral or equivalent level,2021,28
Estonia,Short-cycle tertiary education,2013,0
Estonia,Short-cycle tertiary education,2014,0
Estonia,Short-cycle tertiary education,2015,0
Estonia,Short-cycle tertiary education,2016,0
Estonia,Short-cycle tertiary education,2017,0
Estonia,Short-cycle tertiary education,2018,0
Estonia,Short-cycle tertiary education,2019,0
Estonia,Short-cycle tertiary education,2020,0
Estonia,Short-cycle tertiary education,2021,0
Estonia,Bachelor or equivalent level,2013,87
Estonia,Bachelor or equivalent level,2014,101
Estonia,Bachelor or equivalent level,2015,213
Estonia,Bachelor or equivalent level,2016,316
Estonia,Bachelor or equivalent level,2017,314
Estonia,Bachelor or equivalent level,2018,354
Estonia,Bachelor or equivalent level,2019,396
Estonia,Bachelor or equivalent level,2020,447
Estonia,Bachelor or equivalent level,2021,492
Estonia,Master or equivalent level,2013,156
Estonia,Master or equivalent level,2014,155
Estonia,Master or equivalent level,2015,219
Estonia,Master or equivalent level,2016,358
Estonia,Master or equivalent level,2017,495
Estonia,Master or equivalent level,2018,647
Estonia,Master or equivalent level,2019,709
Estonia,Master or equivalent level,2020,852
Estonia,Master or equivalent level,2021,986
Estonia,Doctoral or equivalent level,2013,12
Estonia,Doctoral or equivalent level,2014,10
Estonia,Doctoral or equivalent level,2015,20
Estonia,Doctoral or equivalent level,2016,33
Estonia,Doctoral or equivalent level,2017,39
Estonia,Doctoral or equivalent level,2018,40
Estonia,Doctoral or equivalent level,2019,48
Estonia,Doctoral or equivalent level,2020,47
Estonia,Doctoral or equivalent level,2021,63
Israel,Short-cycle tertiary education,2013,0
Israel,Short-cycle tertiary education,2014,0
Israel,Short-cycle tertiary education,2015,0
Israel,Short-cycle tertiary education,2016,0
Israel,Short-cycle tertiary education,2017,0
Israel,Short-cycle tertiary education,2018,0
Israel,Short-cycle tertiary education,2019,0
Israel,Short-cycle tertiary education,2020,257
Israel,Short-cycle tertiary education,2021,0
Israel,Bachelor or equivalent level,2013,1410
Israel,Bachelor or equivalent level,2014,1332
Israel,Bachelor or equivalent level,2015,1300
Israel,Bachelor or equivalent level,2016,1028
Israel,Bachelor or equivalent level,2017,1254
Israel,Bachelor or equivalent level,2018,1565
Israel,Bachelor or equivalent level,2019,1560
Israel,Bachelor or equivalent level,2020,1395
Israel,Bachelor or equivalent level,2021,1266
Israel,Master or equivalent level,2013,733
Israel,Master or equivalent level,2014,808
Israel,Master or equivalent level,2015,931
Israel,Master or equivalent level,2016,371
Israel,Master or equivalent level,2017,985
Israel,Master or equivalent level,2018,990
Israel,Master or equivalent level,2019,1062
Israel,Master or equivalent level,2020,1246
Israel,Master or equivalent level,2021,681
Israel,Doctoral or equivalent level,2013,44
Israel,Doctoral or equivalent level,2014,62
Israel,Doctoral or equivalent level,2015,61
Israel,Doctoral or equivalent level,2016,21
Israel,Doctoral or equivalent level,2017,67
Israel,Doctoral or equivalent level,2018,93
Israel,Doctoral or equivalent level,2019,104
Israel,Doctoral or equivalent level,2020,132
Israel,Doctoral or equivalent level,2021,106
Latvia,Short-cycle tertiary education,2013,14
Latvia,Short-cycle tertiary education,2014,13
Latvia,Short-cycle tertiary education,2015,55
Latvia,Short-cycle tertiary education,2016,39
Latvia,Short-cycle tertiary education,2017,12
Latvia,Short-cycle tertiary education,2018,23
Latvia,Short-cycle tertiary education,2019,16
Latvia,Short-cycle tertiary education,2020,6
Latvia,Short-cycle tertiary education,2021,22
Latvia,Bachelor or equivalent level,2013,214
Latvia,Bachelor or equivalent level,2014,165
Latvia,Bachelor or equivalent level,2015,187
Latvia,Bachelor or equivalent level,2016,226
Latvia,Bachelor or equivalent level,2017,350
Latvia,Bachelor or equivalent level,2018,372
Latvia,Bachelor or equivalent level,2019,355
Latvia,Bachelor or equivalent level,2020,404
Latvia,Bachelor or equivalent level,2021,430
Latvia,Master or equivalent level,2013,125
Latvia,Master or equivalent level,2014,154
Latvia,Master or equivalent level,2015,266
Latvia,Master or equivalent level,2016,303
Latvia,Master or equivalent level,2017,426
Latvia,Master or equivalent level,2018,486
Latvia,Master or equivalent level,2019,609
Latvia,Master or equivalent level,2020,796
Latvia,Master or equivalent level,2021,1011
Latvia,Doctoral or equivalent level,2013,1
Latvia,Doctoral or equivalent level,2014,5
Latvia,Doctoral or equivalent level,2015,22
Latvia,Doctoral or equivalent level,2016,22
Latvia,Doctoral or equivalent level,2017,15
Latvia,Doctoral or equivalent level,2018,11
