"COUNTRY","Country","SEX","Gender","ORIGIN","Country of origin","EDUCATION_LEV","Education level","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","F","Female","009","Oceania","ISCED11_5","Short-cycle tertiary education","2021","2021",153,,
"AUS","Australia","M","Male","009","Oceania","ISCED11_5","Short-cycle tertiary education","2013","2013",50,,
"AUS","Australia","M","Male","009","Oceania","ISCED11_5","Short-cycle tertiary education","2014","2014",39,,
"AUS","Australia","M","Male","009","Oceania","ISCED11_5","Short-cycle tertiary education","2015","2015",49,,
"AUS","Australia","M","Male","009","Oceania","ISCED11_5","Short-cycle tertiary education","2016","2016",63,,
"AUS","Australia","M","Male","009","Oceania","ISCED11_5","Short-cycle tertiary education","2017","2017",82,,
"AUS","Australia","M","Male","009","Oceania","ISCED11_5","Short-cycle tertiary education","2018","2018",305,,
"AUS","Australia","M","Male","009","Oceania","ISCED11_5","Short-cycle tertiary education","2019","2019",145,,
"AUS","Australia","M","Male","009","Oceania","ISCED11_5","Short-cycle tertiary education","2020","2020",131,,
"AUS","Australia","M","Male","009","Oceania","ISCED11_5","Short-cycle tertiary education","2021","2021",146,,
"AUS","Australia","_T","Total","009","Oceania","ISCED11_5","Short-cycle tertiary education","2013","2013",96,,
"AUS","Australia","_T","Total","009","Oceania","ISCED11_5","Short-cycle tertiary education","2014","2014",88,,
"AUS","Australia","_T","Total","009","Oceania","ISCED11_5","Short-cycle tertiary education","2015","2015",113,,
"AUS","Australia","_T","Total","009","Oceania","ISCED11_5","Short-cycle tertiary education","2016","2016",158,,
"AUS","Australia","_T","Total","009","Oceania","ISCED11_5","Short-cycle tertiary education","2017","2017",147,,
"AUS","Australia","_T","Total","009","Oceania","ISCED11_5","Short-cycle tertiary education","2018","2018",538,,
"AUS","Australia","_T","Total","009","Oceania","ISCED11_5","Short-cycle tertiary education","2019","2019",255,,
"AUS","Australia","_T","Total","009","Oceania","ISCED11_5","Short-cycle tertiary education","2020","2020",259,,
"AUS","Australia","_T","Total","009","Oceania","ISCED11_5","Short-cycle tertiary education","2021","2021",299,,
"AUS","Australia","F","Female","021","Northern America","ISCED11_5","Short-cycle tertiary education","2013","2013",15,,
"AUS","Australia","F","Female","021","Northern America","ISCED11_5","Short-cycle tertiary education","2014","2014",10,,
"AUS","Australia","F","Female","021","Northern America","ISCED11_5","Short-cycle tertiary education","2015","2015",15,,
"AUS","Australia","F","Female","021","Northern America","ISCED11_5","Short-cycle tertiary education","2016","2016",15,,
"AUS","Australia","F","Female","021","Northern America","ISCED11_5","Short-cycle tertiary education","2017","2017",19,,
"AUS","Australia","F","Female","021","Northern America","ISCED11_5","Short-cycle tertiary education","2018","2018",104,,
"AUS","Australia","F","Female","021","Northern America","ISCED11_5","Short-cycle tertiary education","2019","2019",377,,
